"Gene"	"Aliases"	"Aliases3"	"GeneCateg"	"PromoterOf"	"contigV1"	"startV1"	"stopV1"	"strandV1"	"Npaths"	"contigV2"	"startV2"	"stopV2"	"strandV2"	"Qstart"	"Qstop"	"LQueryMapped"	"QueryLength"	"coverage"	"TrimmedCoverage"	"PcIdentity"	"matches"	"mismatches"	"indels"	"unknowns"	"TranslateStart"	"TranslateStop"	"NbOfAA"	"AAchanges"	"NewTargetName"
"Or1"	"Or_g1.5"	"Or1.7"	"Or"	"None"	"EQ127024"	81519	81674	"+"	1	"GL350829"	107547	107702	"+"	1	156	156	156	100	100	100	156	0	0	0	1	156	52	NA	"Or_g1_5"
"Or1"	"Or_g1.6"	"Or1.6"	"Or"	"None"	"EQ127024"	81201	81305	"+"	1	"GL350829"	107229	107333	"+"	1	105	105	105	100	100	100	105	0	0	0	1	105	35	NA	"Or_g1_6"
"Or1"	"Or_g1.7"	"Or1.5"	"Or"	"None"	"EQ127024"	80722	80821	"+"	1	"GL350829"	106750	106849	"+"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g1_7"
"Or1"	"Or_g1.8"	"Or1.8"	"Or"	"None"	"EQ127024"	81808	81858	"+"	1	"GL350829"	107836	107886	"+"	1	51	51	51	100	100	100	51	0	0	0	1	51	16	NA	"Or_g1_8"
"Or10"	"Or_g2.1"	"Or10.1"	"Or"	"None"	"EQ127004"	139633	138975	"-"	1	"GL349706"	576289	576947	"+"	1	659	659	659	100	100	100	659	0	0	0	1	657	219	NA	"Or_g2_1"
"Or10"	"Or_g2.2"	"Or10.4"	"Or"	"None"	"EQ127004"	135476	135318	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g2_2"
"Or10"	"Or_g2.3"	"Or10.2"	"Or"	"None"	"EQ127004"	136453	136345	"-"	1	"GL349706"	579469	579577	"+"	1	109	109	109	100	100	100	109	0	0	0	2	109	36	NA	"Or_g2_3"
"Or10"	"Or_g2.4"	"Or10.3"	"Or"	"None"	"EQ127004"	135972	135868	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g2_4"
"Or10"	"Or_g2.5"	"Or10.5"	"Or"	"None"	"EQ127004"	135138	135061	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g2_5"
"Or11"	"Or_g3.1"	"Or11.1"	"Or"	"None"	"EQ123812"	2783	2113	"-"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g3_1"
"Or11"	"Or_g3.2"	"Or11.4"	"Or"	"None"	"EQ123812"	495	337	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g3_2"
"Or11"	"Or_g3.3"	"Or11.2"	"Or"	"None"	"EQ123812"	1467	1359	"-"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g3_3"
"Or11"	"Or_g3.4"	"Or11.3"	"Or"	"None"	"EQ123812"	1012	908	"-"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g3_4"
"Or11"	"Or_g3.5"	"Or11.5"	"Or"	"None"	"EQ123812"	171	94	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g3_5"
"Or12"	"Or_g4.1"	"Or12.1"	"Or"	"None"	"EQ115338"	2232	2902	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g4_1"
"Or12"	"Or_g4.2"	"Or12.4"	"Or"	"None"	"EQ115338"	5568	5726	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g4_2"
"Or12"	"Or_g4.3"	"Or12.2"	"Or"	"None"	"EQ115338"	3542	3650	"+"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g4_3"
"Or12"	"Or_g4.4"	"Or12.3"	"Or"	"None"	"EQ115338"	5042	5146	"+"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g4_4"
"Or12"	"Or_g4.5"	"Or12.5"	"Or"	"None"	"EQ115338"	5892	5969	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g4_5"
"Or13"	"Or_g5.1"	"Or13.1"	"Or"	"None"	"EQ120447"	11135	10465	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g5_1"
"Or13"	"Or_g5.2"	"Or13.4"	"Or"	"None"	"EQ120447"	8621	8463	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g5_2"
"Or13"	"Or_g5.3"	"Or13.2"	"Or"	"None"	"EQ120447"	10071	9963	"-"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g5_3"
"Or13"	"Or_g5.4"	"Or13.3"	"Or"	"None"	"EQ120447"	9136	9032	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g5_4"
"Or13"	"Or_g5.5"	"Or13.5"	"Or"	"None"	"EQ120447"	8301	8224	"-"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g5_5"
"Or14P"	"Or_g6.1"	"Or14P.1"	"Or"	"None"	"EQ123827"	3138	3808	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g6_1"
"Or14P"	"Or_g6.2"	"Or14P.4"	"Or"	"None"	"EQ123827"	5929	6087	"+"	1	"GL349765"	123991	124149	"+"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g6_2"
"Or14P"	"Or_g6.3"	"Or14P.2"	"Or"	"None"	"EQ123827"	4449	4557	"+"	1	"GL349765"	122511	122619	"+"	1	109	109	109	100	100	100	109	0	0	0	2	109	36	NA	"Or_g6_3"
"Or14P"	"Or_g6.4"	"Or14P.3"	"Or"	"None"	"EQ123827"	5414	5518	"+"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g6_4"
"Or14P"	"Or_g6.5"	"Or14P.5"	"Or"	"None"	"EQ123827"	6249	6329	"+"	1	"GL349765"	124311	124391	"+"	1	81	81	81	100	100	100	81	0	0	0	1	81	26	NA	"Or_g6_5"
"Or15P"	"Or_g7.1"	"Or15P.1"	"Or"	"None"	"EQ119783"	4258	4910	"+"	1	"GL349639"	2095330	2094678	"-"	1	653	653	653	100	100	99.5	650	3	0	0	244	651	136	"P61L [423] K114E [582] D121G [603]"	"Or_g7_1"
"Or15P"	"Or_g7.2"	"Or15P.3"	"Or"	"None"	"EQ119783"	5782	5910	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g7_2"
"Or15P"	"Or_g7.3"	"Or15P.2"	"Or"	"None"	"EQ119783"	5537	5645	"+"	1	"GL349639"	2094051	2093943	"-"	1	109	109	109	100	100	100	109	0	0	0	2	109	36	NA	"Or_g7_3"
"Or16P"	"Or_g8.1"	"Or16P.1"	"Or"	"None"	"EQ121411"	6279	5463	"-"	1	"GL349739"	1035199	1034383	"-"	1	817	817	817	100	100	99.1	810	7	0	0	1	816	272	"Q125L [372] E179Q [534] L197V [588] E269D [804] L270F [807]"	"Or_g8_1"
"Or16P"	"Or_g8.2"	"Or16P.5"	"Or"	"None"	"EQ121411"	2255	2097	"-"	1	"GL349739"	1031293	1031135	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g8_2"
"Or16P"	"Or_g8.3"	"Or16P.4"	"Or"	"None"	"EQ121411"	3600	3481	"-"	1	"GL349739"	1032611	1032492	"-"	1	120	120	120	100	100	99.2	119	1	0	0	1	120	40	"L20V [57]"	"Or_g8_3"
"Or16P"	"Or_g8.4"	"Or16P.3"	"Or"	"None"	"EQ121411"	3777	3676	"-"	1	"GL349739"	1032790	1032691	"-"	1	102	102	102	100	100	98	100	0	2	0	2	102	33	NA	"Or_g8_4"
"Or16P"	"Or_g8.5"	"Or16P.2"	"Or"	"None"	"EQ121411"	4154	4061	"-"	1	"GL349739"	1033167	1033074	"-"	1	94	94	94	100	100	100	94	0	0	0	3	92	30	NA	"Or_g8_5"
"Or16P"	"Or_g8.6"	"Or16P.6"	"Or"	"None"	"EQ121411"	749	693	"-"	1	"GL349739"	1029290	1029234	"-"	1	57	57	57	100	100	100	57	0	0	0	1	57	18	NA	"Or_g8_6"
"Or17"	"Or_g9.1"	"Or17.1"	"Or"	"None"	"EQ112313"	53799	54576	"+"	1	"GL350313"	12822	12045	"-"	1	778	778	778	100	100	99.9	777	1	0	0	1	777	259	NA	"Or_g9_1"
"Or17"	"Or_g9.2"	"Or17.5"	"Or"	"None"	"EQ112313"	57478	57636	"+"	1	"GL350313"	9420	9262	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g9_2"
"Or17"	"Or_g9.3"	"Or17.4"	"Or"	"None"	"EQ112313"	57263	57382	"+"	1	"GL350313"	9635	9516	"-"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g9_3"
"Or17"	"Or_g9.4"	"Or17.3"	"Or"	"None"	"EQ112313"	57088	57187	"+"	1	"GL350313"	9810	9711	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g9_4"
"Or17"	"Or_g9.5"	"Or17.2"	"Or"	"None"	"EQ112313"	56700	56778	"+"	1	"GL350313"	10198	10120	"-"	1	79	79	79	100	100	98.7	78	1	0	0	3	77	25	"N2S [5]"	"Or_g9_5"
"Or17"	"Or_g9.6"	"Or17.6"	"Or"	"None"	"EQ112313"	57845	57904	"+"	1	"GL350313"	9053	8994	"-"	1	60	60	60	100	100	100	60	0	0	0	1	60	19	NA	"Or_g9_6"
"Or18"	"Or_g10.1"	"Or18.1"	"Or"	"None"	"EQ110896"	1706	2480	"+"	1	"GL349788"	17375	16601	"-"	1	775	775	775	100	100	100	775	0	0	0	1	774	258	NA	"Or_g10_1"
"Or18"	"Or_g10.2"	"Or18.5"	"Or"	"None"	"EQ110896"	4861	5019	"+"	1	"GL349788"	14219	14061	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g10_2"
"Or18"	"Or_g10.3"	"Or18.4"	"Or"	"None"	"EQ110896"	4661	4780	"+"	1	"GL349788"	14419	14300	"-"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g10_3"
"Or18"	"Or_g10.4"	"Or18.3"	"Or"	"None"	"EQ110896"	4483	4582	"+"	1	"GL349788"	14597	14498	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g10_4"
"Or18"	"Or_g10.5"	"Or18.2"	"Or"	"None"	"EQ110896"	4103	4196	"+"	1	"GL349788"	14978	14885	"-"	1	94	94	94	100	100	100	94	0	0	0	3	92	30	NA	"Or_g10_5"
"Or18"	"Or_g10.6"	"Or18.6"	"Or"	"None"	"EQ110896"	5208	5267	"+"	1	"GL349788"	13872	13813	"-"	1	60	60	60	100	100	100	60	0	0	0	1	60	19	NA	"Or_g10_6"
"Or19C"	"Or_g11.1"	"Or19C.1"	"Or"	"None"	"EQ116891"	56423	57164	"+"	1	"GL349757"	698031	698772	"+"	1	742	742	742	100	100	99.3	737	5	0	0	1	741	247	"P176S [525]"	"Or_g11_1"
"Or19C"	"Or_g11.2"	"Or19C.4"	"Or"	"None"	"EQ116891"	60059	60178	"+"	1	"GL349757"	701201	701320	"+"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g11_2"
"Or19C"	"Or_g11.3"	"Or19C.3"	"Or"	"None"	"EQ116891"	58577	58678	"+"	1	"GL349757"	700186	700287	"+"	1	102	102	102	100	100	100	102	0	0	0	2	103	34	NA	"Or_g11_3"
"Or19C"	"Or_g11.4"	"Or19C.2"	"Or"	"None"	"EQ116891"	58037	58124	"+"	1	"GL349757"	699651	699738	"+"	1	88	88	88	100	100	100	88	0	0	0	3	86	28	NA	"Or_g11_4"
"Or2"	"Or_g12.1"	"Or2.2"	"Or"	"None"	"EQ118797"	79711	80376	"+"	1	"GL350138"	116960	117625	"+"	1	666	666	666	100	100	99.8	665	1	0	0	1	666	221	"V125I [372]"	"Or_g12_1"
"Or2"	"Or_g12.2"	"Or2.1"	"Or"	"None"	"EQ118797"	76623	77168	"+"	1	"GL350138"	113872	114417	"+"	1	546	546	546	100	100	99.8	545	1	0	0	1	546	182	NA	"Or_g12_2"
"Or20"	"Or_g13.1"	"Or20.1"	"Or"	"None"	"EQ110814"	42777	42036	"-"	1	"GL349757"	698031	698772	"+"	1	742	742	742	100	100	100	742	0	0	0	1	741	247	NA	"Or_g13_1"
"Or20"	"Or_g13.2"	"Or20.5"	"Or"	"None"	"EQ110814"	39409	39251	"-"	1	"GL349757"	701399	701557	"+"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g13_2"
"Or20"	"Or_g13.3"	"Or20.4"	"Or"	"None"	"EQ110814"	39607	39488	"-"	1	"GL349757"	701201	701320	"+"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g13_3"
"Or20"	"Or_g13.4"	"Or20.3"	"Or"	"None"	"EQ110814"	40622	40523	"-"	1	"GL349757"	700186	700285	"+"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g13_4"
"Or20"	"Or_g13.5"	"Or20.2"	"Or"	"None"	"EQ110814"	41157	41070	"-"	1	"GL349757"	699651	699738	"+"	1	88	88	88	100	100	100	88	0	0	0	3	86	28	NA	"Or_g13_5"
"Or20"	"Or_g13.6"	"Or20.6"	"Or"	"None"	"EQ110814"	39009	38956	"-"	1	"GL349757"	701799	701852	"+"	1	54	54	54	100	100	100	54	0	0	0	1	54	17	NA	"Or_g13_6"
"Or21"	"Or_g14.1"	"Or21.1"	"Or"	"None"	"EQ110814"	15544	14920	"-"	1	"GL349896"	344722	344098	"-"	1	625	625	625	100	100	100	625	0	0	0	1	624	208	NA	"Or_g14_1"
"Or21"	"Or_g14.2"	"Or21.5"	"Or"	"None"	"EQ110814"	11349	11191	"-"	1	"GL349896"	340527	340369	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g14_2"
"Or21"	"Or_g14.3"	"Or21.4"	"Or"	"None"	"EQ110814"	11557	11438	"-"	1	"GL349896"	340735	340616	"-"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g14_3"
"Or21"	"Or_g14.4"	"Or21.3"	"Or"	"None"	"EQ110814"	12188	12089	"-"	1	"GL349896"	341366	341267	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g14_4"
"Or21"	"Or_g14.5"	"Or21.2"	"Or"	"None"	"EQ110814"	12886	12805	"-"	1	"GL349896"	342064	341983	"-"	1	82	82	82	100	100	100	82	0	0	0	3	80	26	NA	"Or_g14_5"
"Or21"	"Or_g14.6"	"Or21.6"	"Or"	"None"	"EQ110814"	10430	10386	"-"	1	"GL349896"	339608	339564	"-"	1	45	45	45	100	100	100	45	0	0	0	1	45	14	NA	"Or_g14_6"
"Or22"	"Or_g15.1"	"Or22.1"	"Or"	"None"	"EQ110814"	32137	31543	"-"	1	"GL349896"	271783	271189	"-"	1	595	595	595	100	100	100	595	0	0	0	1	594	198	NA	"Or_g15_1"
"Or22"	"Or_g15.2"	"Or22.5"	"Or"	"None"	"EQ110814"	30063	29905	"-"	1	"GL349896"	269709	269551	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g15_2"
"Or22"	"Or_g15.3"	"Or22.4"	"Or"	"None"	"EQ110814"	30258	30139	"-"	1	"GL349896"	269904	269785	"-"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g15_3"
"Or22"	"Or_g15.4"	"Or22.3"	"Or"	"None"	"EQ110814"	30448	30349	"-"	1	"GL349896"	270094	269995	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g15_4"
"Or22"	"Or_g15.5"	"Or22.2"	"Or"	"None"	"EQ110814"	30837	30753	"-"	1	"GL349896"	270483	270399	"-"	1	85	85	85	100	100	100	85	0	0	0	3	83	27	NA	"Or_g15_5"
"Or22"	"Or_g15.6"	"Or22.6"	"Or"	"None"	"EQ110814"	27678	27634	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Or_g15_6"
"Or23"	"Or_g16.1"	"Or23.1"	"Or"	"None"	"EQ116773"	155796	155085	"-"	1	"GL349715"	944846	944135	"-"	1	712	712	712	100	100	100	712	0	0	0	1	711	237	NA	"Or_g16_1"
"Or23"	"Or_g16.2"	"Or23.5"	"Or"	"None"	"EQ116773"	152614	152456	"-"	1	"GL349715"	941664	941506	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g16_2"
"Or23"	"Or_g16.3"	"Or23.4"	"Or"	"None"	"EQ116773"	154570	154451	"-"	1	"GL349715"	943620	943501	"-"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g16_3"
"Or23"	"Or_g16.4"	"Or23.3"	"Or"	"None"	"EQ116773"	154739	154640	"-"	1	"GL349715"	943789	943690	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g16_4"
"Or23"	"Or_g16.5"	"Or23.2"	"Or"	"None"	"EQ116773"	154989	154905	"-"	1	"GL349715"	944039	943955	"-"	1	85	85	85	100	100	100	85	0	0	0	3	83	27	NA	"Or_g16_5"
"Or23"	"Or_g16.6"	"Or23.6"	"Or"	"None"	"EQ116773"	151927	151859	"-"	1	"GL349715"	940977	940909	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	22	NA	"Or_g16_6"
"Or24C"	"Or_g17.1"	"Or24C.1"	"Or"	"None"	"EQ116773"	164748	164022	"-"	1	"GL349715"	953990	953264	"-"	1	727	727	727	100	100	100	727	0	0	0	1	726	242	NA	"Or_g17_1"
"Or24C"	"Or_g17.2"	"Or24C.5"	"Or"	"None"	"EQ116773"	162626	162468	"-"	1	"GL349715"	951868	951710	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g17_2"
"Or24C"	"Or_g17.3"	"Or24C.4"	"Or"	"None"	"EQ116773"	163054	162938	"-"	1	"GL349715"	952296	952180	"-"	1	117	117	117	100	100	100	117	0	0	0	1	117	39	NA	"Or_g17_3"
"Or24C"	"Or_g17.4"	"Or24C.3"	"Or"	"None"	"EQ116773"	163215	163116	"-"	1	"GL349715"	952457	952358	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g17_4"
"Or24C"	"Or_g17.5"	"Or24C.2"	"Or"	"None"	"EQ116773"	163915	163837	"-"	1	"GL349715"	953157	953079	"-"	1	79	79	79	100	100	100	79	0	0	0	3	77	25	NA	"Or_g17_5"
"Or25"	"Or_g18.1"	"Or25.1"	"Or"	"None"	"EQ121869"	17294	18002	"+"	1	"GL349841"	454847	454139	"-"	1	709	709	709	100	100	100	709	0	0	0	1	708	236	NA	"Or_g18_1"
"Or25"	"Or_g18.2"	"Or25.5"	"Or"	"None"	"EQ121869"	20033	20191	"+"	1	"GL349841"	452108	451950	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g18_2"
"Or25"	"Or_g18.3"	"Or25.4"	"Or"	"None"	"EQ121869"	19355	19474	"+"	1	"GL349841"	452786	452667	"-"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g18_3"
"Or25"	"Or_g18.4"	"Or25.3"	"Or"	"None"	"EQ121869"	19139	19238	"+"	1	"GL349841"	453002	452903	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g18_4"
"Or25"	"Or_g18.5"	"Or25.6"	"Or"	"None"	"EQ121869"	20277	20345	"+"	1	"GL349841"	451864	451796	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	22	NA	"Or_g18_5"
"Or25"	"Or_g18.6"	"Or25.2"	"Or"	"None"	"EQ121869"	18207	18258	"+"	1	"GL349841"	453934	453883	"-"	1	52	52	52	100	100	100	52	0	0	0	3	50	16	NA	"Or_g18_6"
"Or26C"	"Or_g19.1"	"Or26C.1"	"Or"	"None"	"EQ125282"	41058	40354	"-"	1	"GL349677"	1261097	1260393	"-"	1	705	705	705	100	100	99.9	704	1	0	0	1	705	235	NA	"Or_g19_1"
"Or27C"	"Or_g20.1"	"Or27C.1"	"Or"	"None"	"EQ120064"	2190	1464	"-"	1	"GL350232"	77391	78117	"+"	1	727	727	727	100	100	100	727	0	0	0	1	726	242	NA	"Or_g20_1"
"Or27C"	"Or_g20.2"	"Or27C.2"	"Or"	"None"	"EQ120064"	576	507	"-"	1	"GL350232"	79005	79074	"+"	1	70	70	70	100	100	100	70	0	0	0	3	68	22	NA	"Or_g20_2"
"Or28C"	"Or_g21.1"	"Or28C.1"	"Or"	"None"	"EQ120804"	52238	52964	"+"	1	"GL350232"	73486	74212	"+"	1	727	727	727	100	100	100	727	0	0	0	1	726	242	NA	"Or_g21_1"
"Or28C"	"Or_g21.2"	"Or28C.4"	"Or"	"None"	"EQ120804"	54592	54711	"+"	1	"GL350232"	75840	75959	"+"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g21_2"
"Or28C"	"Or_g21.3"	"Or28C.3"	"Or"	"None"	"EQ120804"	54430	54529	"+"	1	"GL350232"	75678	75777	"+"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g21_3"
"Or28C"	"Or_g21.4"	"Or28C.2"	"Or"	"None"	"EQ120804"	53276	53345	"+"	1	"GL350232"	74524	74593	"+"	1	70	70	70	100	100	100	70	0	0	0	3	68	22	NA	"Or_g21_4"
"Or29"	"Or_g22.1"	"Or29.1"	"Or"	"None"	"EQ112775"	8090	8813	"+"	1	"GL350067"	256238	256961	"+"	1	724	724	724	100	100	100	724	0	0	0	1	723	241	NA	"Or_g22_1"
"Or29"	"Or_g22.2"	"Or29.5"	"Or"	"None"	"EQ112775"	13568	13726	"+"	1	"GL350067"	261716	261874	"+"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g22_2"
"Or29"	"Or_g22.3"	"Or29.4"	"Or"	"None"	"EQ112775"	10682	10801	"+"	1	"GL350067"	258830	258949	"+"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g22_3"
"Or29"	"Or_g22.4"	"Or29.3"	"Or"	"None"	"EQ112775"	10519	10618	"+"	1	"GL350067"	258667	258766	"+"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g22_4"
"Or29"	"Or_g22.5"	"Or29.2"	"Or"	"None"	"EQ112775"	8943	9012	"+"	1	"GL350067"	257091	257160	"+"	1	70	70	70	100	100	98.6	69	1	0	0	3	68	22	NA	"Or_g22_5"
"Or29"	"Or_g22.6"	"Or29.6"	"Or"	"None"	"EQ112775"	13812	13874	"+"	1	"GL350067"	261960	262022	"+"	1	63	63	63	100	100	100	63	0	0	0	1	63	20	NA	"Or_g22_6"
"Or3"	"Or_g23.1"	"Or3.2"	"Or"	"None"	"EQ125915"	3707	4391	"+"	1	"GL349997"	233978	233294	"-"	1	685	685	685	100	100	100	685	0	0	0	3	686	228	NA	"Or_g23_1"
"Or3"	"Or_g23.2"	"Or3.4"	"Or"	"None"	"EQ125915"	8057	8269	"+"	1	"GL349997"	229618	229406	"-"	1	213	213	213	100	100	100	213	0	0	0	1	213	70	NA	"Or_g23_2"
"Or3"	"Or_g23.3"	"Or3.3"	"Or"	"None"	"EQ125915"	7282	7486	"+"	1	"GL349997"	230393	230189	"-"	1	205	205	205	100	100	100	205	0	0	0	2	205	68	NA	"Or_g23_3"
"Or3"	"Or_g23.4"	"Or3.1"	"Or"	"None"	"EQ125915"	15	117	"+"	1	"GL349997"	237669	237567	"-"	1	103	103	103	100	100	100	103	0	0	0	1	102	34	NA	"Or_g23_4"
"Or30"	"Or_g24.1"	"Or30.1"	"Or"	"None"	"EQ125317"	51631	52354	"+"	1	"GL350067"	246775	247498	"+"	1	724	724	724	100	100	99.9	723	1	0	0	1	723	241	"I236V [705]"	"Or_g24_1"
"Or30"	"Or_g24.2"	"Or30.5"	"Or"	"None"	"EQ125317"	55884	56042	"+"	1	"GL350067"	250996	251154	"+"	1	159	159	159	100	100	98.1	156	3	0	0	1	159	53	"N12D [33] R35K [102]"	"Or_g24_2"
"Or30"	"Or_g24.3"	"Or30.4"	"Or"	"None"	"EQ125317"	54772	54891	"+"	1	"GL350067"	249875	249994	"+"	1	120	120	120	100	100	100	120	0	0	0	1	120	40	NA	"Or_g24_3"
"Or30"	"Or_g24.4"	"Or30.3"	"Or"	"None"	"EQ125317"	54609	54708	"+"	1	"GL350067"	249712	249811	"+"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g24_4"
"Or30"	"Or_g24.5"	"Or30.2"	"Or"	"None"	"EQ125317"	52461	52527	"+"	1	"GL350067"	247605	247671	"+"	1	67	67	67	100	100	100	67	0	0	0	3	65	21	NA	"Or_g24_5"
"Or30"	"Or_g24.6"	"Or30.6"	"Or"	"None"	"EQ125317"	56221	56286	"+"	1	"GL350067"	251333	251398	"+"	1	66	66	66	100	100	100	66	0	0	0	1	66	21	NA	"Or_g24_6"
"Or31"	"Or_g25.1"	"Or31.1"	"Or"	"None"	"EQ112773"	52401	53127	"+"	1	"GL349842"	877701	876975	"-"	1	727	727	727	100	100	99.7	725	2	0	0	1	726	242	"A131T [390]"	"Or_g25_1"
"Or31"	"Or_g25.2"	"Or31.5"	"Or"	"None"	"EQ112773"	57051	57209	"+"	1	"GL349842"	873022	872864	"-"	1	159	159	159	100	100	100	159	0	0	0	1	159	53	NA	"Or_g25_2"
"Or31"	"Or_g25.3"	"Or31.4"	"Or"	"None"	"EQ112773"	56847	56972	"+"	1	"GL349842"	873226	873101	"-"	1	126	126	126	100	100	100	126	0	0	0	1	126	42	NA	"Or_g25_3"
"Or31"	"Or_g25.4"	"Or31.3"	"Or"	"None"	"EQ112773"	56563	56662	"+"	1	"GL349842"	873510	873411	"-"	1	100	100	100	100	100	100	100	0	0	0	2	100	33	NA	"Or_g25_4"
"Or31"	"Or_g25.5"	"Or31.2"	"Or"	"None"	"EQ112773"	53778	53847	"+"	1	"GL349842"	876324	876255	"-"	1	70	70	70	100	100	100	70	0	0	0	3	71	23	NA	"Or_g25_5"
"Or31"	"Or_g25.6"	"Or31.6"	"Or"	"None"	"EQ112773"	57320	57388	"+"	1	"GL349842"	872753	872685	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	22	NA	"Or_g25_6"
